               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11831,            0.039948,            0.029925,           0.0012157,                 0.4,           0.0011413,          0.00024481,              0.1104,            0.016517,            0.030151,              0.0919,              0.0009,              0.0009
                   1,             0.10129,            0.044627,            0.029283,           0.0021687,               0.675,            0.013934,            0.002536,            0.084098,            0.015789,            0.028339,            0.082881,           0.0018812,           0.0018812
                   2,            0.089334,            0.046193,            0.029078,            0.003296,                0.95,             0.26715,            0.088395,            0.074975,            0.013664,            0.030835,            0.073843,           0.0028426,           0.0028426
                   3,            0.080913,            0.051252,            0.026829,             0.31626,                 0.4,             0.27511,            0.088063,            0.069441,            0.010434,            0.031555,            0.064784,           0.0037842,           0.0037842
                   4,            0.073318,            0.048102,            0.026799,             0.18565,                0.45,             0.23463,            0.064295,            0.067397,           0.0098205,            0.033728,            0.055706,            0.004706,            0.004706
                   5,            0.072057,            0.043284,            0.026202,             0.37461,                 0.3,             0.25418,            0.098242,            0.072402,           0.0090652,            0.031232,            0.046608,           0.0056079,           0.0056079
                   6,            0.070399,             0.04116,            0.025533,             0.13699,             0.88421,             0.27943,            0.081537,            0.065535,           0.0096874,            0.030426,             0.03749,           0.0064901,           0.0064901
                   7,            0.068549,            0.036994,            0.025284,            0.092788,               0.775,               0.224,            0.067423,            0.067551,           0.0083365,            0.032343,            0.028353,           0.0073525,           0.0073525
                   8,            0.069675,            0.035862,            0.025753,             0.18307,                0.85,             0.32708,             0.12145,            0.063704,            0.006846,            0.031097,            0.019195,           0.0081951,           0.0081951
                   9,            0.064042,            0.036464,            0.025273,             0.13747,                0.75,             0.19782,            0.078523,            0.065245,           0.0059528,            0.030334,            0.010018,           0.0090179,           0.0090179
                  10,            0.064386,            0.036043,            0.025324,             0.20206,                0.65,             0.36223,             0.11544,            0.063498,           0.0060949,            0.030688,             0.00901,             0.00901,             0.00901
                  11,            0.062186,             0.03679,            0.025215,             0.20971,                0.85,             0.27036,            0.094897,            0.057102,            0.007153,            0.030591,             0.00901,             0.00901,             0.00901
                  12,            0.059676,            0.033399,            0.024806,             0.25445,                0.95,             0.47763,             0.13789,             0.05891,           0.0072217,             0.02948,            0.008911,            0.008911,            0.008911
                  13,            0.057986,            0.032735,            0.024845,             0.29134,                 0.9,             0.40108,             0.12388,            0.055256,            0.007019,            0.028815,            0.008812,            0.008812,            0.008812
                  14,            0.055212,            0.033435,            0.024605,             0.35751,             0.86595,             0.56318,             0.21261,            0.050788,           0.0064163,            0.028796,            0.008713,            0.008713,            0.008713
                  15,            0.053575,            0.033744,            0.024837,             0.23972,                0.95,             0.39289,             0.18831,            0.050387,           0.0064282,             0.02785,            0.008614,            0.008614,            0.008614
                  16,            0.053057,            0.032796,            0.024152,             0.33881,                 0.8,             0.60195,              0.2589,            0.051071,           0.0063963,            0.027289,            0.008515,            0.008515,            0.008515
                  17,            0.049552,            0.032065,            0.024609,             0.46186,             0.93654,             0.79233,             0.27265,            0.048381,           0.0067577,            0.028229,            0.008416,            0.008416,            0.008416
                  18,            0.048194,            0.033047,            0.024312,             0.35769,               0.825,             0.65547,             0.19686,            0.048779,           0.0073733,            0.026813,            0.008317,            0.008317,            0.008317
                  19,            0.048856,            0.031579,            0.023759,             0.47882,             0.94302,             0.87709,             0.39735,            0.038376,           0.0058098,            0.026154,            0.008218,            0.008218,            0.008218
                  20,             0.04756,            0.032511,            0.022628,             0.47912,              0.9613,             0.91051,             0.43053,            0.038806,           0.0057592,             0.02666,            0.008119,            0.008119,            0.008119
                  21,            0.044669,            0.031158,             0.02302,             0.40997,             0.95286,             0.83431,             0.34074,            0.040111,           0.0058875,            0.025916,             0.00802,             0.00802,             0.00802
                  22,             0.04605,            0.031773,            0.022379,             0.47706,                   1,             0.86502,             0.39097,             0.03809,           0.0060368,            0.026886,            0.007921,            0.007921,            0.007921
                  23,             0.04693,            0.029914,            0.021466,             0.48156,                   1,             0.68495,             0.26705,            0.041836,           0.0058179,            0.024097,            0.007822,            0.007822,            0.007822
                  24,            0.045147,            0.028749,            0.020852,              0.4959,                0.95,             0.92214,              0.3796,             0.03933,           0.0055442,            0.020621,            0.007723,            0.007723,            0.007723
                  25,            0.043733,            0.029762,            0.021477,             0.54106,                0.95,             0.84143,             0.40292,            0.040222,           0.0053859,            0.019025,            0.007624,            0.007624,            0.007624
                  26,            0.041077,            0.029632,            0.019492,             0.45122,                   1,             0.74329,             0.29454,            0.041885,           0.0050049,            0.039984,            0.007525,            0.007525,            0.007525
                  27,            0.040553,            0.028429,            0.020627,             0.48602,               0.875,             0.78659,             0.33182,            0.044597,           0.0058599,            0.019464,            0.007426,            0.007426,            0.007426
                  28,             0.04357,            0.030354,             0.01803,              0.6147,                 0.9,             0.97333,             0.37572,            0.046746,           0.0063047,            0.016048,            0.007327,            0.007327,            0.007327
                  29,            0.040681,            0.031281,            0.017099,              0.6207,             0.81467,             0.89418,             0.38438,            0.048808,           0.0055118,            0.013712,            0.007228,            0.007228,            0.007228
                  30,            0.042478,            0.029457,            0.016006,              0.7791,             0.69513,             0.86355,             0.39449,            0.045765,           0.0053124,            0.011584,            0.007129,            0.007129,            0.007129
                  31,            0.042268,            0.030205,            0.015483,             0.86676,             0.84285,             0.97625,             0.38215,            0.043917,           0.0053868,            0.010696,             0.00703,             0.00703,             0.00703
                  32,            0.041581,            0.030009,            0.014688,              0.8454,                0.85,             0.93321,             0.41956,            0.044529,           0.0053654,           0.0095909,            0.006931,            0.006931,            0.006931
                  33,            0.039714,            0.028834,            0.013144,             0.82316,                0.85,             0.94138,              0.4159,            0.044657,           0.0051827,            0.012007,            0.006832,            0.006832,            0.006832
                  34,            0.040613,            0.026034,            0.013979,             0.88514,             0.86358,             0.96632,             0.41485,            0.046815,           0.0051961,            0.008548,            0.006733,            0.006733,            0.006733
                  35,            0.037515,            0.029854,            0.012406,             0.90092,             0.90687,             0.97346,             0.50179,             0.03749,           0.0050478,           0.0048817,            0.006634,            0.006634,            0.006634
                  36,            0.038792,            0.030327,             0.01161,             0.87349,             0.96637,               0.995,             0.55751,            0.035884,           0.0047579,           0.0068588,            0.006535,            0.006535,            0.006535
                  37,            0.040028,            0.029084,            0.010265,               0.975,                0.95,             0.98667,             0.49998,             0.03674,           0.0050082,           0.0037659,            0.006436,            0.006436,            0.006436
                  38,            0.039649,            0.029106,            0.010877,             0.98061,                0.95,             0.98071,             0.43972,            0.038474,           0.0052533,           0.0040833,            0.006337,            0.006337,            0.006337
                  39,            0.039106,            0.027075,           0.0099498,             0.97331,             0.93697,             0.97833,             0.54462,            0.033613,           0.0052171,           0.0042046,            0.006238,            0.006238,            0.006238
                  40,            0.036936,            0.025497,           0.0096121,             0.83432,              0.9481,                0.97,             0.52707,            0.033641,            0.004745,           0.0090286,            0.006139,            0.006139,            0.006139
                  41,            0.038876,            0.027324,           0.0099197,             0.94006,             0.98154,               0.995,             0.56269,            0.034478,           0.0049391,           0.0045086,             0.00604,             0.00604,             0.00604
                  42,            0.035993,            0.026163,           0.0096296,             0.79452,             0.87522,             0.98591,             0.58566,              0.0354,           0.0049367,            0.013336,            0.005941,            0.005941,            0.005941
                  43,            0.036953,            0.026089,            0.010246,             0.80119,             0.95164,               0.995,             0.49993,            0.037072,           0.0050845,           0.0098694,            0.005842,            0.005842,            0.005842
                  44,            0.036628,            0.028006,           0.0090177,             0.92168,                0.95,             0.98667,             0.49732,            0.038295,           0.0052886,           0.0055336,            0.005743,            0.005743,            0.005743
                  45,            0.034704,            0.027727,           0.0082482,             0.81194,                 0.9,             0.91583,              0.5124,            0.036235,           0.0056076,            0.012784,            0.005644,            0.005644,            0.005644
                  46,            0.035906,            0.026799,           0.0078119,             0.82896,             0.88447,             0.96716,             0.50462,            0.034817,           0.0060053,            0.015308,            0.005545,            0.005545,            0.005545
                  47,            0.035058,            0.025142,           0.0076229,              0.9312,             0.86631,             0.97278,             0.50092,            0.037472,           0.0058618,           0.0069992,            0.005446,            0.005446,            0.005446
                  48,            0.036082,            0.024915,           0.0075706,             0.91341,                0.95,             0.98346,             0.50634,            0.037403,           0.0058036,           0.0068192,            0.005347,            0.005347,            0.005347
                  49,             0.03574,            0.027206,           0.0073717,             0.96493,                0.95,             0.99045,             0.53251,            0.034905,           0.0057278,           0.0019917,            0.005248,            0.005248,            0.005248
                  50,            0.034995,            0.026539,           0.0071264,             0.97765,                0.95,             0.99045,             0.51681,            0.034107,           0.0057921,           0.0020393,            0.005149,            0.005149,            0.005149
                  51,            0.035357,            0.026503,           0.0062603,             0.89942,             0.93781,             0.98667,             0.49993,            0.032827,           0.0061564,           0.0058868,             0.00505,             0.00505,             0.00505
                  52,            0.034259,             0.02671,           0.0070377,              0.8714,                0.95,             0.98071,             0.44377,            0.036303,            0.005806,           0.0073563,            0.004951,            0.004951,            0.004951
                  53,            0.033917,            0.025593,           0.0069279,             0.83305,             0.78485,             0.84074,             0.41949,            0.042808,           0.0060077,            0.023694,            0.004852,            0.004852,            0.004852
                  54,            0.034289,            0.023769,           0.0072383,             0.84941,             0.83851,             0.87328,             0.40321,            0.043824,           0.0060802,            0.015268,            0.004753,            0.004753,            0.004753
                  55,            0.033448,            0.026453,           0.0063638,             0.86695,              0.9066,               0.995,             0.44023,            0.045257,           0.0057249,            0.010406,            0.004654,            0.004654,            0.004654
                  56,            0.032272,            0.027299,           0.0072469,             0.95744,             0.93794,             0.99045,             0.52066,            0.038368,            0.005496,           0.0029778,            0.004555,            0.004555,            0.004555
                  57,            0.033217,            0.025771,           0.0065172,             0.99065,             0.94878,             0.99045,             0.55909,             0.03583,           0.0055671,           0.0013388,            0.004456,            0.004456,            0.004456
                  58,            0.031445,             0.02614,           0.0066935,             0.98132,              0.9422,             0.98346,             0.58707,            0.032921,           0.0054083,           0.0020081,            0.004357,            0.004357,            0.004357
                  59,            0.031863,            0.026171,           0.0071793,              0.9063,                0.95,             0.99045,             0.48282,            0.035055,           0.0053859,           0.0053413,            0.004258,            0.004258,            0.004258
                  60,            0.031398,            0.025829,           0.0058365,             0.97059,                0.95,             0.99045,             0.53192,            0.037591,           0.0054808,           0.0028389,            0.004159,            0.004159,            0.004159
                  61,            0.031254,            0.025579,           0.0058934,             0.95594,                0.95,             0.99045,             0.57524,            0.032081,           0.0053043,           0.0032753,             0.00406,             0.00406,             0.00406
                  62,            0.031087,            0.024553,           0.0051903,             0.94986,                0.95,             0.99045,             0.52381,            0.034125,           0.0053754,           0.0044167,            0.003961,            0.003961,            0.003961
                  63,            0.030775,            0.026297,           0.0051789,             0.85182,             0.97495,               0.995,             0.49969,            0.037312,           0.0054998,           0.0054794,            0.003862,            0.003862,            0.003862
                  64,            0.031225,            0.024514,           0.0060994,             0.88767,             0.95666,               0.995,             0.47234,            0.038583,           0.0053892,           0.0045074,            0.003763,            0.003763,            0.003763
                  65,            0.029983,             0.02272,           0.0055047,             0.98351,             0.86031,               0.995,             0.56067,             0.03614,           0.0052538,           0.0050991,            0.003664,            0.003664,            0.003664
                  66,            0.030043,            0.024287,           0.0053713,             0.97744,             0.85819,             0.99045,              0.5718,            0.034741,           0.0054288,            0.006646,            0.003565,            0.003565,            0.003565
                  67,            0.030215,            0.025748,           0.0048433,             0.95299,             0.94104,             0.99045,             0.56236,            0.035148,             0.00525,           0.0027412,            0.003466,            0.003466,            0.003466
                  68,            0.029454,            0.023861,           0.0049433,             0.96385,             0.95089,               0.995,             0.56985,            0.036395,             0.00526,           0.0022052,            0.003367,            0.003367,            0.003367
                  69,            0.029805,            0.024266,           0.0055763,             0.96223,             0.94045,             0.98667,             0.60001,            0.032502,           0.0051613,           0.0019513,            0.003268,            0.003268,            0.003268
                  70,            0.029156,            0.026323,            0.004371,             0.97469,                0.95,             0.99045,             0.64492,             0.03156,           0.0052242,            0.001879,            0.003169,            0.003169,            0.003169
                  71,            0.027294,            0.024069,           0.0056367,             0.95603,                0.95,             0.99045,              0.6578,            0.030388,           0.0051348,            0.002152,             0.00307,             0.00307,             0.00307
                  72,            0.028285,             0.02334,           0.0056908,             0.97066,                0.95,             0.99045,             0.63255,            0.028862,           0.0048847,           0.0028328,            0.002971,            0.002971,            0.002971
                  73,            0.026607,            0.023989,           0.0057272,             0.96888,                0.95,             0.99045,              0.6631,            0.028911,           0.0048571,           0.0027843,            0.002872,            0.002872,            0.002872
                  74,            0.028023,            0.024136,           0.0038579,             0.97554,             0.94555,             0.99045,             0.59375,            0.031342,            0.005064,           0.0026512,            0.002773,            0.002773,            0.002773
                  75,            0.027279,            0.024928,           0.0047205,             0.95645,             0.93819,             0.98346,             0.62953,            0.030004,           0.0050154,           0.0040953,            0.002674,            0.002674,            0.002674
                  76,            0.026517,            0.022024,           0.0041576,             0.95897,             0.88671,             0.98071,             0.58112,            0.031308,           0.0050321,           0.0050794,            0.002575,            0.002575,            0.002575
                  77,            0.027086,            0.023032,           0.0062284,             0.97471,             0.90608,             0.99045,             0.60183,            0.031264,           0.0049882,           0.0052214,            0.002476,            0.002476,            0.002476
                  78,             0.02656,            0.023678,           0.0049026,             0.98413,             0.90975,             0.99045,             0.57003,            0.031714,           0.0050702,            0.004715,            0.002377,            0.002377,            0.002377
                  79,            0.026976,            0.024171,           0.0045362,             0.88706,              0.9517,               0.995,             0.59523,            0.032288,           0.0051861,           0.0051811,            0.002278,            0.002278,            0.002278
                  80,            0.027287,            0.022713,           0.0047279,             0.92931,             0.92334,               0.995,             0.59051,            0.031872,           0.0053244,           0.0046564,            0.002179,            0.002179,            0.002179
                  81,            0.026705,            0.022469,           0.0049561,             0.95453,             0.90309,             0.99045,             0.58929,             0.03125,           0.0054064,           0.0041697,             0.00208,             0.00208,             0.00208
                  82,            0.026332,            0.023806,           0.0038176,             0.97168,             0.86077,             0.98591,             0.58593,            0.028731,           0.0053301,           0.0058134,            0.001981,            0.001981,            0.001981
                  83,            0.026359,            0.022624,           0.0049239,             0.98074,                 0.9,             0.98167,             0.53335,            0.032747,           0.0055122,           0.0053584,            0.001882,            0.001882,            0.001882
                  84,            0.026487,            0.023536,           0.0057158,             0.99001,             0.90542,             0.99045,             0.54614,            0.032556,           0.0055618,           0.0040177,            0.001783,            0.001783,            0.001783
                  85,             0.02655,            0.023752,           0.0045067,             0.98862,             0.90629,               0.995,             0.62392,            0.028744,           0.0056133,           0.0040485,            0.001684,            0.001684,            0.001684
                  86,            0.026046,            0.023502,           0.0052847,             0.95815,             0.89569,               0.995,             0.65572,            0.028217,           0.0057716,           0.0059044,            0.001585,            0.001585,            0.001585
                  87,            0.025455,            0.022115,           0.0043018,              0.8688,             0.87937,               0.995,             0.60574,            0.029383,           0.0057869,            0.014218,            0.001486,            0.001486,            0.001486
                  88,            0.024504,            0.021823,           0.0037172,             0.88001,              0.9036,               0.995,             0.59454,            0.028556,           0.0057173,            0.012796,            0.001387,            0.001387,            0.001387
                  89,            0.024992,            0.022373,           0.0042827,             0.86267,             0.89888,               0.995,             0.63099,            0.027703,           0.0055118,             0.01272,            0.001288,            0.001288,            0.001288
                  90,            0.023756,            0.023726,           0.0035473,             0.89603,              0.8525,             0.99045,             0.62445,            0.028497,           0.0054669,            0.012735,            0.001189,            0.001189,            0.001189
                  91,            0.024092,            0.022244,           0.0032423,             0.91654,             0.92901,             0.99045,             0.66396,            0.027347,           0.0053759,           0.0051834,             0.00109,             0.00109,             0.00109
                  92,            0.024132,            0.021828,           0.0038065,             0.96684,             0.90831,             0.99045,             0.64201,            0.028125,           0.0052824,           0.0038126,            0.000991,            0.000991,            0.000991
                  93,            0.024927,            0.023229,           0.0032049,             0.97457,             0.91286,             0.99045,             0.62251,            0.029018,           0.0051796,           0.0046337,            0.000892,            0.000892,            0.000892
                  94,            0.024655,            0.020552,           0.0033933,             0.97587,             0.91448,             0.99045,             0.60874,            0.029544,           0.0052192,           0.0047109,            0.000793,            0.000793,            0.000793
                  95,            0.024513,            0.022599,           0.0042611,             0.97348,             0.91398,             0.99045,             0.63758,            0.028618,           0.0052166,           0.0048351,            0.000694,            0.000694,            0.000694
                  96,            0.024369,            0.022355,           0.0037952,              0.9708,             0.91455,               0.995,             0.61921,            0.029158,           0.0051899,           0.0048027,            0.000595,            0.000595,            0.000595
                  97,            0.023529,            0.023629,           0.0041057,             0.96606,             0.90902,               0.995,             0.62231,            0.028988,           0.0051322,           0.0049942,            0.000496,            0.000496,            0.000496
                  98,            0.024007,            0.020735,           0.0028452,              0.9629,             0.90601,               0.995,             0.60373,            0.028752,            0.005091,           0.0052354,            0.000397,            0.000397,            0.000397
                  99,            0.022739,            0.021557,           0.0040181,             0.96541,             0.90748,               0.995,             0.65804,            0.028302,           0.0050509,           0.0051523,            0.000298,            0.000298,            0.000298
